,Date,Revenue,Orders,AOV,Product_id
861,2023-06-26,0.0,0,,1
862,2023-06-26,0.0,0,,2
863,2023-06-26,45.738,4,11.4345,9
864,2023-06-26,3480.3859999999995,179,19.443497206703906,10
865,2023-06-26,2493.6659999999997,84,29.686499999999995,11
866,2023-06-26,35.391999999999996,3,11.797333333333333,12
867,2023-06-26,3530.114,195,18.103148717948716,13
868,2023-06-26,0.0,0,,4
869,2023-06-26,73.30399999999999,28,2.6179999999999994,6
870,2023-06-26,773.6819999999999,4,193.42049999999998,7
871,2023-06-26,67.256,11,6.114181818181819,14
872,2023-06-26,111.552,88,1.2676363636363637,16
873,2023-06-26,1961.1479999999997,137,14.314948905109487,18
874,2023-06-27,0.0,157,0.0,
875,2023-06-27,0.0,0,,1
876,2023-06-27,3195.9619999999995,6,532.6603333333333,2
877,2023-06-27,89.334,10,8.9334,9
878,2023-06-27,3607.576,190,18.987242105263157,10
879,2023-06-27,2530.584,88,28.75663636363636,11
880,2023-06-27,29.638,8,3.70475,12
881,2023-06-27,2616.292,154,16.98890909090909,13
882,2023-06-27,0.0,0,,4
883,2023-06-27,17.962,13,1.3816923076923078,6
884,2023-06-27,1511.944,10,151.1944,7
885,2023-06-27,32.998,6,5.499666666666666,14
886,2023-06-27,164.06599999999997,99,1.657232323232323,16
887,2023-06-27,0.0,0,,17
888,2023-06-27,2412.578,172,14.026616279069767,18
889,2023-06-28,0.0,144,0.0,
890,2023-06-28,0.0,0,,1
891,2023-06-28,0.0,0,,2
892,2023-06-28,44.534,6,7.4223333333333334,9
893,2023-06-28,3961.9719999999998,210,18.866533333333333,10
894,2023-06-28,1906.324,64,29.7863125,11
895,2023-06-28,93.43599999999999,13,7.187384615384615,12
896,2023-06-28,3446.394,204,16.894088235294117,13
897,2023-06-28,0.0,0,,4
898,2023-06-28,0.252,25,0.01008,6
899,2023-06-28,313.292,3,104.43066666666665,7
900,2023-06-28,32.774,6,5.4623333333333335,14
901,2023-06-28,166.152,77,2.1578181818181816,16
902,2023-06-28,0.0,0,,17
903,2023-06-28,2216.354,160,13.852212499999998,18
904,2023-06-29,0.0,165,0.0,
905,2023-06-29,0.0,0,,1
906,2023-06-29,0.0,0,,2
907,2023-06-29,58.632,6,9.772,9
908,2023-06-29,3467.6739999999995,193,17.96722279792746,10
909,2023-06-29,2265.1859999999997,83,27.29139759036144,11
910,2023-06-29,185.14999999999998,15,12.343333333333332,12
911,2023-06-29,3159.7439999999997,183,17.266360655737703,13
912,2023-06-29,0.0,0,,4
913,2023-06-29,110.376,25,4.41504,6
914,2023-06-29,935.2839999999999,6,155.88066666666666,7
915,2023-06-29,0.0,0,,8
916,2023-06-29,24.261999999999997,4,6.065499999999999,14
917,2023-06-29,126.966,92,1.3800652173913044,16
918,2023-06-29,2557.968,186,13.752516129032257,18
919,2023-06-30,0.0,175,0.0,
920,2023-06-30,0.0,0,,1
921,2023-06-30,536.3679999999999,1,536.3679999999999,2
922,2023-06-30,0.0,0,,3
923,2023-06-30,72.198,7,10.313999999999998,9
924,2023-06-30,3466.176,189,18.339555555555556,10
925,2023-06-30,2469.3619999999996,83,29.751349397590356,11
926,2023-06-30,178.01,17,10.471176470588235,12
927,2023-06-30,2725.394,154,17.697363636363637,13
928,2023-06-30,0.0,0,,4
929,2023-06-30,146.62199999999999,28,5.2364999999999995,6
930,2023-06-30,907.0319999999999,6,151.172,7
931,2023-06-30,0.0,0,,8
932,2023-06-30,24.066,4,6.0165,14
933,2023-06-30,0.0,0,,15
934,2023-06-30,149.492,88,1.698772727272727,16
935,2023-06-30,0.0,0,,17
936,2023-06-30,1970.0939999999998,144,13.681208333333332,18
937,2023-07-01,0.0,178,0.0,
938,2023-07-01,0.0,0,,1
939,2023-07-01,0.0,0,,2
940,2023-07-01,28.476,3,9.491999999999999,9
941,2023-07-01,3904.432,225,17.35303111111111,10
942,2023-07-01,2290.834,87,26.33142528735632,11
